driver_id,total_fare,avg_distance
65,77.11,26.55
78,164.29000000000002,23.65
81,215.8,27.560000000000002
28,114.3,14.69
76,346.47,18.7925
27,127.95,3.8
44,97.41,29.185
12,120.33,47.11
91,141.04,1.68
22,149.22,29.85
93,18.82,1.53
47,238.51,27.28
1,105.16,38.99
52,81.11,41.31
13,71.28,41.64
6,141.51,26.213333333333335
86,129.1,16.53
20,29.1,37.03
94,30.6,33.51
57,87.76,6.6049999999999995
54,522.72,24.144
96,88.53,5.28
48,93.84,22.6
19,33.0,23.41
92,45.11,21.9
64,99.97,6.22
41,49.5,15.33
15,83.38000000000001,18.84
43,101.12,34.72
37,142.07999999999998,25.98
61,124.75999999999999,19.34
9,102.1,18.155
17,169.32,36.35666666666666
35,143.0,35.99
59,378.98,22.505000000000003
55,148.79,23.13
39,173.20000000000002,10.09
23,206.15999999999997,33.245
49,122.91,29.75
84,109.08,15.14
87,85.55,40.7
51,210.35,31.13
97,112.07,38.38
10,57.11,24.86
45,50.68,10.46
38,25.81,6.32
82,84.29,41.89
80,95.66,24.655
24,166.8,35.51
70,132.94,34.0
62,95.41,49.97
95,112.63,27.189999999999998
29,16.36,22.64
21,207.5,22.84
98,140.51,41.21
90,67.92,40.78
32,109.97,27.94
75,236.5,33.64000000000001
56,35.32,9.7
58,253.35000000000002,40.59
33,116.91,17.8
68,155.08,37.25
71,233.46999999999997,29.75
14,257.48,18.6825
42,235.32999999999998,19.41
79,292.13,44.74333333333333
2,169.14,17.155
30,215.56,21.39
66,396.07000000000005,25.403333333333336
67,86.4,25.54
46,94.87,21.755000000000003
36,80.57,29.33
89,300.83,24.886
