trip_id,driver_id,distance_km,fare_amount,timestamp
ae9fff56-6397-4525-9249-861a583d30f5,24,46.59,85.49,2025-10-22 11:09:46
b2f072ca-758a-419d-83c8-d65fafbfdc71,34,22.43,45.86,2025-10-22 11:10:16
a5abfa76-5171-4bf9-a2e5-0388a3c72ebf,5,8.48,16.87,2025-10-22 11:10:40
e0659c48-8a56-43e2-ad5d-02d4182f20b5,77,47.33,92.5,2025-10-22 11:10:42
36e03e95-45e7-4d15-8142-8862e0b4c238,37,5.42,10.75,2025-10-22 11:10:45
c4793d39-23f5-4ff6-ab9a-8ef49ba8c662,41,44.83,88.04,2025-10-22 11:10:54
9a698366-c1dc-487e-a4a6-4e0ae3e408b7,53,15.22,32.66,2025-10-22 11:11:02
8274c6d3-a25c-4cf0-90a0-b00fc0e6d87e,41,42.16,75.34,2025-10-22 11:11:32
ccd928c6-a284-45ce-b80b-b319396519dc,29,14.67,32.42,2025-10-22 11:11:47
ee0cceed-f28e-41e2-8047-98e9fe148013,40,8.1,19.75,2025-10-22 11:11:57
04a24957-b853-4116-a380-f72ae9d345e1,38,17.58,33.02,2025-10-22 11:12:21
e56eebbb-8a6d-477f-abf6-60e12b82fd9a,35,22.82,46.27,2025-10-22 11:12:41
2e644114-3b32-4680-b36a-1b2ed19e3af5,66,43.79,82.14,2025-10-22 11:13:11
d917cea7-4836-409f-8892-081fc6f0fd1e,76,42.01,80.12,2025-10-22 11:13:33
bf0203e5-f3b6-4e30-8030-99b1ea26610a,11,2.04,3.8,2025-10-22 11:13:50
851ff744-ee35-4d9b-ac32-22a4636c0ce7,59,38.36,68.82,2025-10-22 11:14:12
c333f4c7-03c8-4274-aeeb-91212993d0af,86,41.28,80.79,2025-10-22 11:14:26
277bedcc-a00f-460c-9255-02f7dae86c7a,65,9.54,23.74,2025-10-22 11:14:40
1987a03f-d52f-4a77-835c-02812ddbea3a,68,13.85,30.94,2025-10-22 11:14:56
b51d8464-5433-4e42-8a50-d69f6060711e,80,45.02,83.13,2025-10-22 11:14:59
c8dce846-c480-4bae-bbf3-89ad76f9d02f,76,24.06,48.99,2025-10-22 11:15:24
78d9519c-948a-4db5-8c10-ee5d5e6eb587,22,1.58,2.86,2025-10-22 11:15:49
f5599302-b0aa-4812-ace4-92a9b68c264b,1,17.0,28.88,2025-10-22 11:16:15
4e321fc0-4b9c-4519-93f8-ed7df66261dd,66,12.05,23.92,2025-10-22 11:16:21
ca565af8-e54e-44e7-b7c5-b362b5c1d709,62,7.33,16.28,2025-10-22 11:16:42
0ef5d761-a42a-40d2-85c8-4e57bb72ed3f,86,20.39,39.24,2025-10-22 11:16:46
b154ed5c-80ef-458c-9de1-e934789a3674,10,18.58,33.24,2025-10-22 11:17:07
2f38cebb-6908-40f3-bc09-bd48f2562ccd,31,21.9,37.75,2025-10-22 11:17:26
6fde169f-64c4-4f22-b139-5a8eebab97ef,94,28.68,52.69,2025-10-22 11:17:28
5b5ce3ce-c2ba-4f3f-8f67-5252d9bb6e0b,83,7.3,20.23,2025-10-22 11:17:58
ae848464-54a3-4946-a994-40b7695f0fc1,25,23.48,41.8,2025-10-22 11:18:16
44710715-da4a-4eea-99f2-64955be6d212,56,9.49,20.28,2025-10-22 11:18:29
9b3dac75-df86-4dcd-bd23-b89b51e02600,83,38.29,70.41,2025-10-22 11:18:56
919dc342-0abf-43ac-86e2-73b5bd7553a9,83,46.08,90.41,2025-10-22 11:19:24
a0323407-5ca4-4d67-bb9c-b4fbc47a9475,81,2.81,7.54,2025-10-22 11:19:43
c2df5e89-48bd-4833-bbb1-03b49f0225b4,30,23.72,42.0,2025-10-22 11:20:08
c362e8fa-df94-4512-a5ae-8f2d7b6dac3a,32,42.96,78.62,2025-10-22 11:20:18
689ed771-04a0-430d-a087-862dc9935960,74,25.99,47.57,2025-10-22 11:20:37
766cdeb2-66cf-4683-8f12-95ebe6c04717,39,36.14,64.52,2025-10-22 11:21:02
13872f1e-9afa-4a41-8b50-0ee5c552c2ef,17,39.13,71.68,2025-10-22 11:21:29
bce1b294-aa3a-4ee6-92fa-4fdf13920a92,45,42.78,84.2,2025-10-22 11:21:35
e2dc567d-cd24-4c1e-8a71-85f501fdd1f3,95,12.41,26.02,2025-10-22 11:21:38
8e39d512-59d0-42a5-a369-2a20d6c2f5e4,61,48.86,89.44,2025-10-22 11:21:57
b73b43b5-817a-4d53-8543-b5e8ca99671c,45,29.61,60.19,2025-10-22 11:21:59
58795c5c-0085-4a56-ac8a-4b957997e1f1,58,6.06,8.93,2025-10-22 11:22:08
71f4673b-1e05-485b-a988-4c5a125339d6,63,8.78,18.03,2025-10-22 11:22:15
9380e477-bcb1-4f6c-8bbd-22c719b46b8f,4,8.06,16.85,2025-10-22 11:22:34
9628a0db-cba2-41d7-bb6b-bb1bae141734,39,26.65,52.24,2025-10-22 11:22:39
f238a279-8d16-4cc2-9252-21a3c156d87f,81,24.08,41.28,2025-10-22 11:22:54
682bf1c3-4f8b-4f9d-9246-0c6c9f678046,54,30.25,58.31,2025-10-22 11:23:16
34a541c0-e5d5-4543-90aa-8e09d10c6ccd,4,4.41,6.62,2025-10-22 11:23:19
a7972216-151b-4517-b21e-2cc8fa316270,3,21.94,38.08,2025-10-22 11:23:44
5e547054-044a-4582-a326-f4dbff5f9146,90,31.84,63.25,2025-10-22 11:23:47
b98d5eee-235d-4f64-8665-3bfaf06a6ea6,63,38.28,69.53,2025-10-22 11:24:11
83d96d18-3f21-4dd9-b33b-ec40627cc8e3,13,27.47,55.73,2025-10-22 11:24:32
5b827d43-b3eb-4fc1-8784-52bc098c1319,25,47.28,85.17,2025-10-22 11:24:34
5963efc2-d05a-496d-a4f7-2984c22e883b,14,31.65,62.66,2025-10-22 11:25:00
e32bdaca-fbca-46ac-8a00-23ebaf1224fb,29,39.51,70.36,2025-10-22 11:25:22
01c2ebeb-93df-4fbe-bd0e-a95d55871898,40,24.33,48.56,2025-10-22 11:25:38
18f6f4b1-6b49-4a3c-a4e3-e8eedf819b32,99,26.91,55.88,2025-10-22 11:25:57
9b94a9cc-99a4-4517-9a02-81e928422505,82,13.02,26.99,2025-10-22 11:26:27
e5fddf8e-fd61-43f5-9bb6-2731a9632798,17,14.55,25.13,2025-10-22 11:26:40
e55e29e5-054a-41a6-864d-6c42ded0e77f,80,39.74,78.55,2025-10-22 11:27:03
218e703e-5f54-4e64-9364-92a14d12f672,93,22.08,43.35,2025-10-22 11:27:32
1c32b9b2-fe56-4779-93fe-e0a2580c9656,92,24.05,41.85,2025-10-22 11:27:44
1bd4a182-16f8-4718-8497-283aba15cf40,99,14.16,32.8,2025-10-22 11:28:03
3168ca33-5140-46c3-a4c9-6fc3adf23fff,94,47.11,88.94,2025-10-22 11:28:31
2db1c58c-7901-437d-9a82-f16c39c5267f,42,15.91,26.32,2025-10-22 11:28:52
9efb5a3e-c5c3-49e4-856c-314c0fff3d0e,39,28.69,49.4,2025-10-22 11:29:09
60948e23-2b52-4a8b-9195-e6d3753228be,31,44.97,84.42,2025-10-22 11:29:36
5c7deb25-1a4a-4029-99f9-41dc74508b61,83,39.97,72.21,2025-10-22 11:29:37
95f57c5f-3f91-4e35-aa9a-bffb2b44a7c1,46,44.15,85.68,2025-10-22 11:29:54
047e0022-3342-429c-aaa5-9b7f0ba3524f,74,42.45,82.61,2025-10-22 11:30:20
9078d92c-d703-4f3b-bde7-48f1e217f29a,59,36.31,64.7,2025-10-22 11:30:42
5ddfabea-8547-44a6-ac04-ce64383e3fda,60,49.35,89.07,2025-10-22 11:31:02
a5f61d78-2f72-4b33-82fe-1b29d1e52693,88,17.81,30.98,2025-10-22 11:31:03
97e75e90-7ef5-401e-9bb3-8c9eb4e2187e,100,32.84,65.35,2025-10-22 11:31:17
13ac5b85-6126-48dc-9ab2-2e9612047513,31,46.73,89.84,2025-10-22 11:31:18
58c5dfd0-cce9-4e61-bc3a-7069b2081fd4,9,46.22,89.62,2025-10-22 11:31:44
9bf0b307-b9a9-4975-8f21-62ba302ec675,93,11.52,27.68,2025-10-22 11:32:13
7a924b4f-7e72-4bc9-a547-d93d0d87502d,40,14.22,24.33,2025-10-22 11:32:34
80d4f48c-fc26-487d-b0bd-72273fa795fc,86,27.85,47.9,2025-10-22 11:32:58
ded2d4d4-a90f-42d4-9893-511451472745,28,18.43,39.79,2025-10-22 11:33:15
9d5cbdc9-8109-45b8-8c96-b3db8ce68d43,95,6.03,12.04,2025-10-22 11:33:40
ed853147-0ad0-41b2-9068-3ba8957d93e4,79,25.21,43.02,2025-10-22 11:33:51
7fc539fd-f8c9-4aa7-b501-0d77fc92cb44,18,41.4,76.59,2025-10-22 11:34:05
ce6daba1-8e3e-4232-8db5-99fedb190264,45,18.82,34.39,2025-10-22 11:34:15
568f1164-d3d7-4ad7-bae8-0434d4bfea05,71,1.19,0.46,2025-10-22 11:34:40
410482af-8ca6-45a2-91f9-2f5745a78821,38,29.64,59.77,2025-10-22 11:35:03
027c639b-b935-418c-87c1-86c778a3f1d1,39,22.59,40.22,2025-10-22 11:35:08
ef84ed15-ad40-4492-b1b1-3e1dd5fbe4ab,4,36.19,71.9,2025-10-22 11:35:09
